evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,brushhair,14,0.296,0.213,0.0,0.667,0.296,0.787
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,airdrum,14,0.269,0.176,0.033,0.5,0.236,0.824
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,tap,14,0.269,0.144,0.067,0.5,0.202,0.856
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,type,14,0.267,0.354,0.0,1.0,0.267,0.646
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,bicepcurl,14,0.256,0.312,0.033,0.933,0.223,0.688
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,shakehead,14,0.25,0.32,0.033,0.9,0.217,0.68
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,touchface,14,0.25,0.305,0.033,1.0,0.217,0.695
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,punchsomeone,14,0.249,0.245,0.033,0.967,0.215,0.755
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,drawtriangle,14,0.236,0.143,0.0,0.4,0.236,0.857
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,brushteeth,14,0.233,0.279,0.033,0.883,0.2,0.721
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,dodge,14,0.229,0.141,0.1,0.5,0.129,0.859
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,pullhandin,14,0.226,0.136,0.0,0.533,0.226,0.864
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,drawcircleclockwise,14,0.214,0.069,0.167,0.367,0.048,0.931
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,drawcirclecounterclockwise,14,0.2,0.074,0.133,0.333,0.067,0.926
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,sweep,14,0.198,0.06,0.1,0.333,0.098,0.94
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,drawzigzag,14,0.183,0.071,0.033,0.3,0.15,0.929
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,thumbdown,14,0.179,0.085,0.033,0.333,0.145,0.915
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,spreadandpinch,14,0.169,0.092,0.0,0.367,0.169,0.908
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,sneeze,14,0.167,0.299,0.0,1.0,0.167,0.701
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,yawn,14,0.137,0.215,0.0,0.717,0.137,0.785
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,makeoksign,14,0.136,0.084,0.033,0.3,0.102,0.916
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,blownose,14,0.125,0.19,0.0,0.65,0.125,0.81
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,slide,14,0.102,0.058,0.033,0.233,0.069,0.942
unsloth_Qwen3-VL-30B-A3B-Thinking-GGUF_Q5_K_M,stopsign,14,0.062,0.055,0.0,0.167,0.062,0.945
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,handshake,14,1.0,0.0,1.0,1.0,0.0,1.0
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,walk,13,1.0,0.0,1.0,1.0,0.0,1.0
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,bow,14,0.981,0.034,0.9,1.0,0.081,0.966
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,sleep,14,0.931,0.009,0.9,0.933,0.031,0.991
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,sit,14,0.881,0.303,0.133,1.0,0.748,0.697
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,drink,14,0.862,0.351,0.033,1.0,0.829,0.649
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,freestyle,54,0.793,0.256,0.033,1.0,0.76,0.744
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,liftupahand,14,0.779,0.244,0.2,1.0,0.579,0.756
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,gym,55,0.703,0.138,0.2,0.9,0.503,0.862
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,dance,13,0.659,0.364,0.167,1.0,0.492,0.636
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,pickup,14,0.631,0.284,0.133,1.0,0.498,0.716
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,jumpingjack,14,0.615,0.196,0.1,0.867,0.515,0.804
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,hug,14,0.61,0.468,0.067,1.0,0.543,0.532
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,turn,14,0.59,0.416,0.167,1.0,0.424,0.584
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,conversation,14,0.583,0.318,0.167,1.0,0.417,0.682
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,clap,14,0.557,0.404,0.067,1.0,0.49,0.596
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,handwave,14,0.555,0.407,0.0,1.0,0.555,0.593
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,playphone,14,0.54,0.471,0.0,1.0,0.54,0.529
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,falldown,14,0.531,0.479,0.0,1.0,0.531,0.521
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,thumbup,14,0.517,0.375,0.2,1.0,0.317,0.625
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,lunge,14,0.498,0.406,0.067,1.0,0.431,0.594
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,squat,14,0.493,0.454,0.0,1.0,0.493,0.546
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,jog,14,0.471,0.284,0.033,1.0,0.438,0.716
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,pushup,14,0.469,0.425,0.033,1.0,0.436,0.575
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,bowling,14,0.461,0.353,0.033,0.883,0.427,0.647
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,moppingfloor,14,0.46,0.357,0.0,0.8,0.46,0.643
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,stretchoneself,13,0.449,0.318,0.1,1.0,0.349,0.682
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,answerphone,14,0.388,0.475,0.0,1.0,0.388,0.525
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,airdrum,14,0.358,0.273,0.033,0.967,0.325,0.727
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,tap,14,0.354,0.23,0.033,0.883,0.32,0.77
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,stagger,14,0.34,0.113,0.0,0.433,0.34,0.887
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,eat,14,0.331,0.388,0.033,1.0,0.298,0.612
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,boxing,14,0.321,0.295,0.033,1.0,0.288,0.705
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,jumprope,14,0.314,0.288,0.033,0.933,0.281,0.712
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,cough,14,0.305,0.42,0.0,1.0,0.305,0.58
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,pushhandaway,14,0.296,0.098,0.133,0.5,0.163,0.902
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,kicksomeone,14,0.283,0.388,0.0,1.0,0.283,0.612
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,jump,14,0.281,0.33,0.033,1.0,0.248,0.67
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,makevictorysign,14,0.27,0.253,0.0,0.85,0.27,0.747
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,brushhair,14,0.263,0.298,0.0,0.75,0.263,0.702
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,pushsomeone,14,0.25,0.122,0.033,0.533,0.217,0.878
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,thumbdown,14,0.243,0.107,0.033,0.4,0.21,0.893
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,touchface,14,0.231,0.322,0.033,1.0,0.198,0.678
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,wipeface,14,0.229,0.371,0.0,0.933,0.229,0.629
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,drawtriangle,14,0.219,0.115,0.033,0.367,0.186,0.885
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,bicepcurl,14,0.211,0.26,0.033,0.9,0.177,0.74
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,dodge,14,0.207,0.112,0.1,0.467,0.107,0.888
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,legraise,14,0.207,0.17,0.033,0.7,0.174,0.83
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,drawzigzag,14,0.198,0.112,0.033,0.333,0.164,0.888
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,shakehead,14,0.193,0.241,0.067,0.933,0.126,0.759
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,pullhandin,14,0.174,0.142,0.0,0.5,0.174,0.858
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,type,14,0.171,0.353,0.0,1.0,0.171,0.647
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,strechoneself,1,0.167,,0.167,0.167,0.0,1.0
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,drawcircleclockwise,14,0.164,0.048,0.033,0.233,0.131,0.952
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,spreadandpinch,14,0.162,0.089,0.0,0.333,0.162,0.911
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,sweep,14,0.15,0.071,0.033,0.25,0.117,0.929
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,drawcirclecounterclockwise,14,0.11,0.044,0.033,0.2,0.076,0.956
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,blownose,14,0.107,0.188,0.033,0.7,0.074,0.812
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,brushteeth,14,0.102,0.058,0.0,0.167,0.102,0.942
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,makeoksign,14,0.102,0.078,0.0,0.233,0.102,0.922
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,punchsomeone,14,0.102,0.055,0.033,0.2,0.069,0.945
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,sneeze,14,0.095,0.261,0.0,1.0,0.095,0.739
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,slide,14,0.088,0.036,0.033,0.167,0.055,0.964
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,stopsign,14,0.055,0.043,0.0,0.133,0.055,0.957
unsloth_Qwen3-VL-4B-Thinking-GGUF_Q8_0,yawn,14,0.048,0.045,0.033,0.2,0.014,0.955
