evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
gpt-5.1,hug,14,1.0,0.0,1.0,1.0,0.0,1.0
gpt-5.1,sit,14,1.0,0.0,1.0,1.0,0.0,1.0
gpt-5.1,strechoneself,1,1.0,,1.0,1.0,0.0,1.0
gpt-5.1,walk,13,1.0,0.0,1.0,1.0,0.0,1.0
gpt-5.1,bow,14,0.986,0.025,0.933,1.0,0.052,0.975
gpt-5.1,drink,14,0.931,0.258,0.033,1.0,0.898,0.742
gpt-5.1,squat,14,0.931,0.24,0.1,1.0,0.831,0.76
gpt-5.1,sleep,14,0.926,0.019,0.9,0.967,0.026,0.981
gpt-5.1,liftupahand,14,0.898,0.058,0.833,1.0,0.064,0.942
gpt-5.1,stretchoneself,13,0.865,0.215,0.2,1.0,0.665,0.785
gpt-5.1,playphone,14,0.852,0.355,0.0,1.0,0.852,0.645
gpt-5.1,freestyle,54,0.849,0.201,0.2,1.0,0.649,0.799
gpt-5.1,kicksomeone,14,0.84,0.338,0.067,1.0,0.774,0.662
gpt-5.1,pickup,14,0.84,0.284,0.167,1.0,0.674,0.716
gpt-5.1,boxing,14,0.838,0.316,0.133,1.0,0.705,0.684
gpt-5.1,handwave,14,0.829,0.359,0.033,1.0,0.795,0.641
gpt-5.1,pushsomeone,14,0.782,0.312,0.2,1.0,0.582,0.688
gpt-5.1,jog,14,0.769,0.244,0.167,1.0,0.602,0.756
gpt-5.1,jumprope,14,0.762,0.356,0.1,1.0,0.662,0.644
gpt-5.1,thumbup,14,0.76,0.37,0.033,1.0,0.726,0.63
gpt-5.1,jumpingjack,14,0.757,0.336,0.1,1.0,0.657,0.664
gpt-5.1,turn,14,0.75,0.412,0.067,1.0,0.683,0.588
gpt-5.1,clap,14,0.736,0.437,0.0,1.0,0.736,0.563
gpt-5.1,answerphone,14,0.721,0.457,0.0,1.0,0.721,0.543
gpt-5.1,pushup,14,0.721,0.406,0.1,1.0,0.621,0.594
gpt-5.1,moppingfloor,14,0.712,0.309,0.1,1.0,0.612,0.691
gpt-5.1,falldown,14,0.681,0.371,0.033,1.0,0.648,0.629
gpt-5.1,lunge,14,0.652,0.358,0.167,1.0,0.486,0.642
gpt-5.1,gym,55,0.646,0.187,0.033,0.967,0.612,0.813
gpt-5.1,conversation,14,0.642,0.389,0.0,1.0,0.642,0.611
gpt-5.1,jump,14,0.624,0.398,0.1,1.0,0.524,0.602
gpt-5.1,punchsomeone,14,0.6,0.432,0.0,1.0,0.6,0.568
gpt-5.1,makevictorysign,14,0.56,0.397,0.167,1.0,0.393,0.603
gpt-5.1,dance,13,0.544,0.339,0.133,1.0,0.41,0.661
gpt-5.1,sneeze,14,0.495,0.441,0.0,1.0,0.495,0.559
gpt-5.1,thumbdown,14,0.393,0.399,0.033,1.0,0.36,0.601
gpt-5.1,type,14,0.386,0.439,0.0,1.0,0.386,0.561
gpt-5.1,eat,14,0.355,0.353,0.0,1.0,0.355,0.647
gpt-5.1,pushhandaway,14,0.345,0.229,0.033,0.633,0.312,0.771
gpt-5.1,dodge,14,0.312,0.266,0.033,0.783,0.279,0.734
gpt-5.1,bowling,14,0.289,0.197,0.067,0.7,0.223,0.803
gpt-5.1,stagger,14,0.28,0.099,0.133,0.4,0.146,0.901
gpt-5.1,airdrum,14,0.277,0.19,0.033,0.533,0.244,0.81
gpt-5.1,legraise,14,0.257,0.247,0.033,0.7,0.224,0.753
gpt-5.1,bicepcurl,14,0.254,0.372,0.0,1.0,0.254,0.628
gpt-5.1,cough,14,0.25,0.408,0.0,1.0,0.25,0.592
gpt-5.1,drawcircleclockwise,14,0.195,0.079,0.133,0.433,0.062,0.921
gpt-5.1,drawtriangle,14,0.195,0.107,0.067,0.367,0.129,0.893
gpt-5.1,brushhair,14,0.189,0.22,0.0,0.717,0.189,0.78
gpt-5.1,drawcirclecounterclockwise,14,0.186,0.052,0.067,0.233,0.119,0.948
gpt-5.1,touchface,14,0.181,0.07,0.067,0.267,0.114,0.93
gpt-5.1,pullhandin,14,0.157,0.137,0.0,0.367,0.157,0.863
gpt-5.1,makeoksign,14,0.152,0.07,0.033,0.267,0.119,0.93
gpt-5.1,drawzigzag,14,0.143,0.097,0.0,0.267,0.143,0.903
gpt-5.1,spreadandpinch,14,0.143,0.055,0.067,0.3,0.076,0.945
gpt-5.1,brushteeth,14,0.14,0.04,0.033,0.167,0.107,0.96
gpt-5.1,sweep,14,0.138,0.054,0.033,0.2,0.105,0.946
gpt-5.1,tap,14,0.138,0.172,0.0,0.6,0.138,0.828
gpt-5.1,shakehead,14,0.126,0.128,0.033,0.467,0.093,0.872
gpt-5.1,wipeface,14,0.106,0.227,0.0,0.883,0.106,0.773
gpt-5.1,slide,14,0.081,0.031,0.033,0.133,0.048,0.969
gpt-5.1,blownose,14,0.052,0.102,0.0,0.4,0.052,0.898
gpt-5.1,stopsign,14,0.048,0.028,0.0,0.1,0.048,0.972
gpt-5.1,yawn,14,0.029,0.018,0.0,0.067,0.029,0.982
grok-4-1-fast-reasoning,handshake,14,1.0,0.0,1.0,1.0,0.0,1.0
grok-4-1-fast-reasoning,sleep,14,0.931,0.009,0.9,0.933,0.031,0.991
grok-4-1-fast-reasoning,bow,14,0.905,0.159,0.367,1.0,0.538,0.841
grok-4-1-fast-reasoning,conversation,14,0.879,0.187,0.4,1.0,0.479,0.813
grok-4-1-fast-reasoning,pickup,14,0.855,0.25,0.2,1.0,0.655,0.75
grok-4-1-fast-reasoning,sit,14,0.836,0.326,0.233,1.0,0.602,0.674
grok-4-1-fast-reasoning,hug,14,0.771,0.376,0.133,1.0,0.638,0.624
grok-4-1-fast-reasoning,thumbup,14,0.755,0.408,0.0,1.0,0.755,0.592
grok-4-1-fast-reasoning,handwave,14,0.75,0.364,0.033,1.0,0.717,0.636
grok-4-1-fast-reasoning,drink,14,0.731,0.442,0.033,1.0,0.698,0.558
grok-4-1-fast-reasoning,answerphone,14,0.724,0.453,0.033,1.0,0.69,0.547
grok-4-1-fast-reasoning,playphone,14,0.712,0.441,0.0,1.0,0.712,0.559
grok-4-1-fast-reasoning,freestyle,54,0.704,0.319,0.0,1.0,0.704,0.681
grok-4-1-fast-reasoning,boxing,14,0.66,0.443,0.0,1.0,0.66,0.557
grok-4-1-fast-reasoning,liftupahand,14,0.627,0.346,0.167,0.9,0.461,0.654
grok-4-1-fast-reasoning,stretchoneself,13,0.624,0.372,0.033,1.0,0.591,0.628
grok-4-1-fast-reasoning,makevictorysign,14,0.583,0.425,0.033,1.0,0.55,0.575
grok-4-1-fast-reasoning,moppingfloor,14,0.569,0.425,0.0,1.0,0.569,0.575
grok-4-1-fast-reasoning,gym,55,0.491,0.268,0.033,0.933,0.458,0.732
grok-4-1-fast-reasoning,turn,14,0.464,0.414,0.167,1.0,0.298,0.586
grok-4-1-fast-reasoning,clap,14,0.462,0.431,0.0,1.0,0.462,0.569
grok-4-1-fast-reasoning,jumpingjack,14,0.449,0.361,0.1,1.0,0.349,0.639
grok-4-1-fast-reasoning,lunge,14,0.438,0.388,0.1,1.0,0.338,0.612
grok-4-1-fast-reasoning,squat,14,0.412,0.432,0.0,1.0,0.412,0.568
grok-4-1-fast-reasoning,pushsomeone,14,0.405,0.287,0.033,1.0,0.371,0.713
grok-4-1-fast-reasoning,pushhandaway,14,0.362,0.123,0.1,0.5,0.262,0.877
