Model,10fps,3fps,Gain,Gain_Pct
Qwen3-VL-30B,0.5888,0.5321333333333333,0.05666666666666664,10.648960160360806
Qwen3-VL-4B,0.4764,0.40226666666666666,0.07413333333333333,18.428902883659262
