model,Scene,ObjPr,Attr,LocIm,SpRel,Count,Interact,Temp2Col,HeatAlign,ThermAttr,RelTherm,Warmest,Coldest,Anomaly
gpt-5,77.7778,48.2759,6.8966,10.3448,24.1379,10.3448,31.0345,68.7500,65.0000,24.1379,24.1379,13.7931,31.0345,27.5862
gemini-2.5-pro,66.6667,48.2759,17.2414,13.7931,17.2414,10.3448,17.2414,75.0000,20.0000,17.2414,31.0345,20.6897,37.9310,20.6897
qwen3-vl-plus,70.3704,13.7931,10.3448,17.2414,13.7931,3.4483,17.2414,56.2500,20.0000,10.3448,13.7931,13.7931,55.1724,37.9310
unsloth/Qwen3-VL-8B-Thinking-GGUF:Q8_0,48.1481,31.0345,3.4483,10.3448,27.5862,13.7931,17.2414,50.0000,15.0000,10.3448,17.2414,24.1379,34.4828,31.0345
unsloth/Qwen3-VL-30B-A3B-Thinking-GGUF:Q5_K_M,55.5556,20.6897,13.7931,6.8966,10.3448,10.3448,17.2414,56.2500,15.0000,17.2414,13.7931,34.4828,27.5862,24.1379
gemini-2.5-flash,62.9630,37.9310,6.8966,13.7931,13.7931,3.4483,17.2414,56.2500,15.0000,17.2414,13.7931,10.3448,6.8966,37.9310
qwen3-vl-flash,44.4444,10.3448,10.3448,3.4483,6.8966,13.7931,13.7931,50.0000,50.0000,13.7931,0.0000,10.3448,6.8966,31.0345
unsloth/gemma-3-27b-it-GGUF:Q8_0,51.8519,31.0345,10.3448,20.6897,13.7931,0.0000,10.3448,37.5000,50.0000,0.0000,3.4483,20.6897,6.8966,6.8966
unsloth/Qwen3-VL-8B-Instruct-GGUF:Q8_0,44.4444,3.4483,6.8966,10.3448,6.8966,0.0000,20.6897,25.0000,25.0000,10.3448,13.7931,13.7931,20.6897,24.1379
